x,Pressure
46.12746554,0.102292683
46.27232238,0.102585366
46.41728526,0.102439024
46.59123365,0.102292683
46.72163309,0.102439024
46.88108872,0.102292683
46.9534818,0.102585366
47.04026158,0.103317073
47.09784376,0.104926829
47.14096854,0.106390244
47.15510781,0.107853659
47.18370449,0.109463415
47.19784376,0.110926829
47.22647579,0.112390244
47.24057971,0.114
47.25471898,0.115463415
47.26882291,0.117073171
47.28292683,0.118682927
47.2970661,0.120146341
47.31117002,0.121756098
47.32527395,0.123365854
47.33941322,0.124829268
47.35351714,0.126439024
47.36765642,0.127902439
47.38179569,0.129365854
47.39589961,0.13097561
47.41003888,0.132439024
47.42414281,0.13404878
47.43824673,0.135658537
47.46687876,0.137121951
47.48098268,0.138731707
47.5096147,0.140195122
47.55270414,0.141804878
47.66839873,0.142829268
47.81332626,0.142829268
47.95853659,0.141658537
48.1038883,0.139902439
48.22018381,0.138439024
48.30728172,0.137853659
48.39437964,0.137268293
48.53962531,0.13595122
48.69936373,0.134634146
48.85896076,0.133902439
49.00417109,0.132731707
49.16376812,0.132
49.30901379,0.130682927
49.46864616,0.129804878
49.59932838,0.128780488
49.74453871,0.127609756
49.90410039,0.12702439
50.04931071,0.125853659
50.19441499,0.125121951
50.33962531,0.12395122
50.49932838,0.122780488
50.65899611,0.121756098
50.81862849,0.120878049
50.96387416,0.119560976
51.12361258,0.118243902
51.26875221,0.117365854
51.41382114,0.116780488
51.57345352,0.115902439
51.7330859,0.11502439
51.87826087,0.114
52.03789325,0.113121951
52.19759632,0.11195122
52.3427006,0.111219512
52.48773418,0.110780488
52.66182397,0.11004878
52.80696359,0.109170732
52.95210322,0.108292683
53.1117356,0.107414634
53.24231177,0.106829268
53.3873807,0.106243902
53.54694238,0.105658537
53.69201131,0.105073171
53.85160834,0.104341463
